Entity,Code,Year,60% of median - share of population below poverty line
Saint Lucia,LCA,2016,29.23049997
Samoa,WSM,2002,19.37578181
Samoa,WSM,2008,21.5559714
Samoa,WSM,2013,18.43185221
Sao Tome and Principe,STP,2000,18.52809278
Sao Tome and Principe,STP,2010,16.0633862
Sao Tome and Principe,STP,2017,20.9375599
Senegal,SEN,1991,29.82609375
Senegal,SEN,1994,20.06214111
Senegal,SEN,2001,19.47891888
Senegal,SEN,2005,22.14507432
Senegal,SEN,2011,22.24409995
Senegal,SEN,2018,19.11871017
Serbia,SRB,2002,16.60341287
Serbia,SRB,2003,17.66585328
Serbia,SRB,2004,18.67918001
Serbia,SRB,2005,20.16921853
Serbia,SRB,2006,15.0818845
Serbia,SRB,2007,14.35199492
Serbia,SRB,2008,12.74823141
Serbia,SRB,2009,14.16398027
Serbia,SRB,2010,15.4731676
Serbia,SRB,2012,25.42705721
Serbia,SRB,2013,15.42495395
Serbia,SRB,2014,26.11915391
Serbia,SRB,2015,13.82612882
Serbia,SRB,2016,25.29692108
Serbia,SRB,2017,24.09403525
Serbia,SRB,2018,15.74666051
Serbia,SRB,2019,15.46673976
Seychelles,SYC,1999,23.02092812
Seychelles,SYC,2006,24.04378118
Seychelles,SYC,2013,19.02242323
Seychelles,SYC,2018,21.41573472
Sierra Leone,SLE,1989,41.442051
Sierra Leone,SLE,2003,18.93469249
Sierra Leone,SLE,2011,15.79272187
Sierra Leone,SLE,2018,15.09872532
Slovakia,SVK,1992,7.494655716
Slovakia,SVK,1996,14.49872253
Slovakia,SVK,2004,12.88545848
Slovakia,SVK,2005,14.36033809
Slovakia,SVK,2006,11.62971132
Slovakia,SVK,2007,11.13909861
Slovakia,SVK,2008,10.94351886
Slovakia,SVK,2009,10.45199923
Slovakia,SVK,2010,15.06603979
Slovakia,SVK,2011,15.42016611
Slovakia,SVK,2012,15.83929579
Slovakia,SVK,2013,16.34566992
Slovakia,SVK,2014,15.90904592
Slovakia,SVK,2015,15.81186683
Slovakia,SVK,2016,14.50617403
Slovakia,SVK,2017,13.94758222
Slovakia,SVK,2018,14.83837284
Slovakia,SVK,2019,13.09040581
Slovenia,SVN,1987,10.40831055
Slovenia,SVN,1993,12.43427246
Slovenia,SVN,1997,11.243082
Slovenia,SVN,1998,15.07046387
Slovenia,SVN,1999,11.24363282
Slovenia,SVN,2002,15.22130963
Slovenia,SVN,2003,17.81421552
Slovenia,SVN,2004,11.55795541
Slovenia,SVN,2005,11.4533732
Slovenia,SVN,2006,11.55953202
Slovenia,SVN,2007,11.24590933
Slovenia,SVN,2008,10.52755333
Slovenia,SVN,2009,11.42858772
Slovenia,SVN,2010,11.97413741
Slovenia,SVN,2011,12.49600023
Slovenia,SVN,2012,12.86968861
Slovenia,SVN,2013,13.77499941
Slovenia,SVN,2014,13.16988122
Slovenia,SVN,2015,13.00629233
Slovenia,SVN,2016,12.9097839
Slovenia,SVN,2017,11.8033928
Slovenia,SVN,2018,10.61562791
Slovenia,SVN,2019,10.97297456
Solomon Islands,SLB,2005,24.53563305
Solomon Islands,SLB,2012,19.30647497
Somalia,SOM,2017,20.43748758
South Africa,ZAF,1993,32.00790646
South Africa,ZAF,2000,31.87027462
South Africa,ZAF,2005,27.83577884
South Africa,ZAF,2008,29.11988127
South Africa,ZAF,2010,30.26510185
South Africa,ZAF,2014,30.17693248
South Korea,KOR,2006,19.23298605
South Korea,KOR,2008,18.98261149
South Korea,KOR,2010,18.48631685
South Korea,KOR,2012,18.99736404
South Korea,KOR,2014,18.4990314
South Korea,KOR,2016,18.74697925
South Sudan,SSD,2009,29.16331714
South Sudan,SSD,2016,25.13377728
Spain,ESP,1980,19.74854763
Spain,ESP,1985,18.73364326
Spain,ESP,1990,17.49472627
Spain,ESP,1995,20.48204643
Spain,ESP,2000,19.47889664
Spain,ESP,2003,19.9552211
Spain,ESP,2004,20.29986012
Spain,ESP,2005,19.74029884
Spain,ESP,2006,20.27367316
Spain,ESP,2007,20.6390647
Spain,ESP,2008,21.35274824
Spain,ESP,2009,21.20499658
Spain,ESP,2010,21.93591555
Spain,ESP,2011,23.10517039
Spain,ESP,2012,22.82785155
Spain,ESP,2013,24.28251993
Spain,ESP,2014,23.5201877
Spain,ESP,2015,23.59794907
Spain,ESP,2016,23.31050961
Spain,ESP,2017,22.86749615
Spain,ESP,2018,22.11929333
Spain,ESP,2019,22.03809904
Sri Lanka,LKA,1985,16.65706055
Sri Lanka,LKA,1990,12.40480622
Sri Lanka,LKA,1995,14.30428026
Sri Lanka,LKA,2002,17.3719522
Sri Lanka,LKA,2006,17.41456455
Sri Lanka,LKA,2009,15.48606487
Sri Lanka,LKA,2012,16.52624836
Sri Lanka,LKA,2016,17.46454407
Sudan,SDN,2009,20.92057746
Sudan,SDN,2014,16.28160697
Suriname - urban,,1999,34.23848878
Sweden,SWE,1967,18.98952863
Sweden,SWE,1975,10.99456523
Sweden,SWE,1981,11.73373434
Sweden,SWE,1987,9.7391819
Sweden,SWE,1992,11.49916032
Sweden,SWE,1995,12.98443014
Sweden,SWE,2000,12.49960829
Sweden,SWE,2003,12.88315969
Sweden,SWE,2004,12.16682783
Sweden,SWE,2005,14.09618646
Sweden,SWE,2006,12.9269223
Sweden,SWE,2007,13.85494626
Sweden,SWE,2008,14.0709354
Sweden,SWE,2009,14.38029157
Sweden,SWE,2010,14.17247674
Sweden,SWE,2011,13.99601744
Sweden,SWE,2012,14.10522228
Sweden,SWE,2013,15.61831188
Sweden,SWE,2014,14.52490533
Sweden,SWE,2015,14.92616364
Sweden,SWE,2016,15.51854642
Sweden,SWE,2017,14.76274942
Sweden,SWE,2018,15.68241104
Sweden,SWE,2019,15.42698279
Switzerland,CHE,1982,17.72973827
Switzerland,CHE,1992,17.49451681
Switzerland,CHE,2000,16.20200139
Switzerland,CHE,2002,17.7452011
Switzerland,CHE,2006,19.62210785
Switzerland,CHE,2007,18.58812986
Switzerland,CHE,2008,18.62503497
Switzerland,CHE,2009,17.72843371
Switzerland,CHE,2010,17.72113431
Switzerland,CHE,2011,18.09093384
Switzerland,CHE,2012,16.97415583
Switzerland,CHE,2013,18.38383279
Switzerland,CHE,2014,17.51112411
Switzerland,CHE,2015,17.92925971
Switzerland,CHE,2016,17.93519987
Switzerland,CHE,2017,17.87213379
Switzerland,CHE,2018,19.08466242
Syria,SYR,1996,16.28358591
Syria,SYR,2003,18.0056089
Taiwan,TWN,1981,14.49765978
Taiwan,TWN,1986,13.49968358
Taiwan,TWN,1991,14.24461661
Taiwan,TWN,1995,16.24892743
Taiwan,TWN,1997,15.74524079
Taiwan,TWN,2000,15.49812105
Taiwan,TWN,2005,16.24759146
Taiwan,TWN,2007,15.99906282
Taiwan,TWN,2010,17.99759076
Taiwan,TWN,2013,16.49949786
Taiwan,TWN,2016,15.74479342
Tajikistan,TJK,1999,15.97123327
Tajikistan,TJK,2003,17.67778534
Tajikistan,TJK,2004,18.32290349
Tajikistan,TJK,2007,16.69793935
Tajikistan,TJK,2009,15.99001749
Tajikistan,TJK,2015,19.02532871
Tanzania,TZA,1991,18.42487984
Tanzania,TZA,2000,18.69781036
Tanzania,TZA,2007,20.57747055
Tanzania,TZA,2011,17.03686517
Tanzania,TZA,2018,17.9023685
Thailand,THA,1981,25.1796071
Thailand,THA,1988,22.58809163
Thailand,THA,1990,20.11945717
Thailand,THA,1992,22.77050819
Thailand,THA,1994,20.23765314
Thailand,THA,1996,20.39903498
Thailand,THA,1998,20.8481666
Thailand,THA,1999,21.27675357
Thailand,THA,2000,21.03355567
Thailand,THA,2002,21.42201434
Thailand,THA,2004,22.30353625
Thailand,THA,2006,22.82317241
Thailand,THA,2007,21.61065037
Thailand,THA,2008,22.11077706
Thailand,THA,2009,22.16933303
Thailand,THA,2010,20.83953632
Thailand,THA,2011,18.54793633
Thailand,THA,2012,21.22188215
Thailand,THA,2013,19.67295827
Thailand,THA,2014,19.54764114
Thailand,THA,2015,18.52988482
Thailand,THA,2016,19.07018886
Thailand,THA,2017,19.52315831
Thailand,THA,2018,19.50016571
Thailand,THA,2019,17.61769043
Thailand,THA,2020,18.89012925
Timor,TLS,2001,18.77832008
Timor,TLS,2007,12.7321479
Timor,TLS,2014,11.88916252
Togo,TGO,2006,21.42623847
Togo,TGO,2011,26.90465092
Togo,TGO,2015,24.6249545
Togo,TGO,2018,23.1692224
Tonga,TON,2000,22.98457949
Tonga,TON,2009,21.72002744
Tonga,TON,2015,19.49697203
Trinidad and Tobago,TTO,1988,27.1098947
Trinidad and Tobago,TTO,1992,25.54200195
Tunisia,TUN,1985,24.37036133
Tunisia,TUN,1990,24.10186035
Tunisia,TUN,1995,24.71208984
Tunisia,TUN,2000,23.78454102
Tunisia,TUN,2005,21.53821176
Tunisia,TUN,2010,20.44990604
Tunisia,TUN,2015,17.74177732
Turkey,TUR,1987,22.22235352
Turkey,TUR,1994,24.02863281
Turkey,TUR,2002,24.10304967
Turkey,TUR,2003,23.79056836
Turkey,TUR,2004,25.78441047
Turkey,TUR,2005,25.07864293
Turkey,TUR,2006,24.57582645
Turkey,TUR,2007,23.87554535
Turkey,TUR,2008,23.79023655
Turkey,TUR,2009,23.96302139
Turkey,TUR,2010,22.29608964
Turkey,TUR,2011,22.73717486
Turkey,TUR,2012,22.46605907
Turkey,TUR,2013,22.80428127
Turkey,TUR,2014,23.1655607
Turkey,TUR,2015,22.59865612
Turkey,TUR,2016,23.00237327
Turkey,TUR,2017,22.76021829
Turkey,TUR,2018,22.85294353
Turkey,TUR,2019,23.69770366
Turkmenistan,TKM,1998,20.83608179
Tuvalu,TUV,2010,21.02545446
Uganda,UGA,1989,26.61600586
Uganda,UGA,1992,21.49470935
Uganda,UGA,1996,19.41557128
Uganda,UGA,1999,21.0960297
Uganda,UGA,2002,20.3795994
Uganda,UGA,2005,21.12729389
Uganda,UGA,2009,19.46373705
Uganda,UGA,2012,19.17612392
Uganda,UGA,2016,20.68927355
Uganda,UGA,2019,20.78294447
Ukraine,UKR,1992,18.03657219
Ukraine,UKR,1993,15.11699037
Ukraine,UKR,1995,22.58849121
Ukraine,UKR,1996,19.71024861
Ukraine,UKR,1999,15.48541992
Ukraine,UKR,2002,15.1986138
Ukraine,UKR,2003,13.75866067
Ukraine,UKR,2004,14.69920532
Ukraine,UKR,2005,14.80423497
Ukraine,UKR,2006,14.65395769
Ukraine,UKR,2007,13.14651159
Ukraine,UKR,2008,12.12305361
Ukraine,UKR,2009,11.35755157
Ukraine,UKR,2010,10.79752306
Ukraine,UKR,2011,10.4832438
Ukraine,UKR,2012,10.98192344
Ukraine,UKR,2013,10.40346598
Ukraine,UKR,2014,9.540325307
Ukraine,UKR,2015,10.72933715
Ukraine,UKR,2016,11.24226714
Ukraine,UKR,2017,11.14523611
Ukraine,UKR,2018,11.71977947
Ukraine,UKR,2019,11.9245538
Ukraine,UKR,2020,10.92432136
United Arab Emirates,ARE,2013,25.61642923
United Kingdom,GBR,1969,15.72271154
United Kingdom,GBR,1974,13.99873455
United Kingdom,GBR,1979,12.98992775
United Kingdom,GBR,1986,18.23597543
United Kingdom,GBR,1991,20.49594891
United Kingdom,GBR,1994,19.99414206
United Kingdom,GBR,1995,19.74954326
United Kingdom,GBR,1996,19.98554568
United Kingdom,GBR,1997,20.24919099
United Kingdom,GBR,1998,20.24916949
United Kingdom,GBR,1999,20.24650986
United Kingdom,GBR,2000,19.99895575
United Kingdom,GBR,2001,19.49731787
United Kingdom,GBR,2002,19.24394724
United Kingdom,GBR,2003,19.24469345
United Kingdom,GBR,2004,20.7636772
United Kingdom,GBR,2005,20.0933234
United Kingdom,GBR,2006,19.55942635
United Kingdom,GBR,2007,19.01013376
United Kingdom,GBR,2008,18.82385915
United Kingdom,GBR,2009,20.53856075
United Kingdom,GBR,2010,19.20365454
United Kingdom,GBR,2011,19.6101933
United Kingdom,GBR,2012,20.15041175
United Kingdom,GBR,2013,20.60102035
United Kingdom,GBR,2014,20.4908185
United Kingdom,GBR,2015,19.34002237
United Kingdom,GBR,2016,19.89040692
United Kingdom,GBR,2017,21.06156436
United States,USA,1974,21.48991618
United States,USA,1979,21.74885944
United States,USA,1986,24.24986156
United States,USA,1991,25.24884936
United States,USA,1992,24.9995648
United States,USA,1993,25.49874899
United States,USA,1994,24.99710497
United States,USA,1995,24.49812547
United States,USA,1996,24.74773029
United States,USA,1997,24.49505341
United States,USA,1998,24.499951
United States,USA,1999,24.49718943
United States,USA,2000,23.99931298
United States,USA,2001,24.24823378
United States,USA,2002,24.74911013
United States,USA,2003,24.74842046
United States,USA,2004,24.24974637
United States,USA,2005,24.24998935
United States,USA,2006,24.74762778
United States,USA,2007,24.74931484
United States,USA,2008,24.499326
United States,USA,2009,24.49779214
United States,USA,2010,24.74865749
United States,USA,2011,24.99911597
United States,USA,2012,25.24973759
United States,USA,2013,24.9930646
United States,USA,2014,23.99602248
United States,USA,2015,24.24773332
United States,USA,2016,24.74872833
United States,USA,2017,25.24657235
United States,USA,2018,24.99882794
United States,USA,2019,24.99873422
Uruguay,URY,2006,26.65102349
Uruguay,URY,2007,26.61351264
Uruguay,URY,2008,26.10412932
Uruguay,URY,2009,26.49936043
Uruguay,URY,2010,26.07119574
Uruguay,URY,2011,25.18284207
Uruguay,URY,2012,24.60288575
Uruguay,URY,2013,24.91552702
Uruguay,URY,2014,24.54471785
Uruguay,URY,2015,25.01425965
Uruguay,URY,2016,24.29407431
Uruguay,URY,2017,23.95399254
Uruguay,URY,2018,23.98205043
Uruguay,URY,2019,24.46580659
Uruguay,URY,2020,25.15277446
Uruguay - urban,,1981,26.03075327
Uruguay - urban,,1989,24.99189736
Uruguay - urban,,1992,24.74062394
Uruguay - urban,,1995,24.94273617
Uruguay - urban,,1996,24.42545011
Uruguay - urban,,1997,24.93030939
Uruguay - urban,,1998,25.89670106
Uruguay - urban,,2000,26.12672364
Uruguay - urban,,2001,26.17516571
Uruguay - urban,,2002,27.15892239
Uruguay - urban,,2003,26.57710085
Uruguay - urban,,2004,27.44761101
Uruguay - urban,,2005,26.77891444
Uzbekistan,UZB,1998,26.91671019
Uzbekistan,UZB,2000,18.66461752
Uzbekistan,UZB,2002,13.77890424
Uzbekistan,UZB,2003,16.48155533
Vanuatu,VUT,2010,21.02077951
Vanuatu,VUT,2019,20.69579958
Venezuela,VEN,1981,31.14806509
Venezuela,VEN,1987,30.96005825
Venezuela,VEN,1989,26.33583454
Venezuela,VEN,1992,23.62325224
Venezuela,VEN,1995,27.73066115
Venezuela,VEN,1998,28.42205263
Venezuela,VEN,1999,27.830081
Venezuela,VEN,2001,27.05013973
Venezuela,VEN,2002,28.11127164
Venezuela,VEN,2003,28.41438906
Venezuela,VEN,2004,27.88273815
Venezuela,VEN,2005,28.95031176
Venezuela,VEN,2006,26.07848795
Vietnam,VNM,1992,15.42849952
Vietnam,VNM,1997,13.4880437
Vietnam,VNM,2002,15.58932368
Vietnam,VNM,2004,18.09291109
Vietnam,VNM,2006,19.01220508
Vietnam,VNM,2008,17.15380354
Vietnam,VNM,2010,19.72277575
Vietnam,VNM,2012,20.37864613
Vietnam,VNM,2014,19.55917099
Vietnam,VNM,2016,20.25202375
Vietnam,VNM,2018,20.39268414
Yemen,YEM,1998,19.75272602
Yemen,YEM,2005,16.83542831
Yemen,YEM,2014,18.1055969
Zambia,ZMB,1991,38.28919954
Zambia,ZMB,1993,31.46995198
Zambia,ZMB,1996,26.89823856
Zambia,ZMB,1998,27.42714089
Zambia,ZMB,2002,20.45003891
Zambia,ZMB,2004,28.6325414
Zambia,ZMB,2006,28.9306094
Zambia,ZMB,2010,26.59465928
Zambia,ZMB,2015,31.93469743
Zimbabwe,ZWE,2011,24.145527
Zimbabwe,ZWE,2017,21.5555141
Zimbabwe,ZWE,2019,24.68153882
